ZCTA,Mean Household Income
07422,89126
07423,218600
07424,94065
07430,131380
07432,107864
07435,123806
07436,130466
07438,114954
07439,96765
07440,115204
07442,94107
07444,103239
07446,163628
07450,208050
07452,198963
07456,121135
07457,102934
07458,266026
07460,108033
07461,97398
07462,88085
07463,124695
07465,106410
07470,133219
07480,106714
07481,194293
07495,No Data
07501,35256
07502,70787
07503,50950
07504,68119
07505,43238
07506,101240
07508,95223
07512,102499
07513,56051
07514,47412
07522,38391
07524,47016
07601,71668
07603,88952
07604,99738
07605,108526
07606,80961
07607,94670
07608,57962
07620,259159
07621,95513
07624,144928
07626,161416
07627,198908
07628,102539
07630,114738
07631,115679
07632,193872
07640,166279
07641,177808
07642,133782
07643,83989
07644,65374
07645,137533
07646,96679
07647,115214
07648,140310
07649,181368
07650,76692
07652,125930
07656,133827
07657,84867
07660,85588
07661,125811
07662,93633
07663,95407
07666,121195
07670,222688
07675,142534
07676,149061
07677,193162
07701,104507
07702,150611
07703,79097
07704,188932
07711,151084
07712,81997
07716,120056
07717,109268
07718,106997
07719,103864
07720,77352
07721,92412
07722,203391
07723,141506
07724,98228
07726,133314
07727,119786
07728,107196
07730,102140
07731,108094
07732,98612
07733,188967
07734,69177
07735,79076
07737,91268
07738,153248
07739,189052
07740,74901
07746,168158
07747,109486
07748,135352
07750,125058
07751,175575
07753,74805
07755,111895
07756,79450
07757,115164
07758,103959
07760,232841
07762,110974
07764,109775
07801,79314
07803,103432
07820,No Data
07821,126135
07822,93484
07823,72768
07825,103963
07826,99660
07827,73991
07828,95806
07830,165347
07832,103209
07833,95737
07834,127969
07836,119401
07838,96672
07840,92139
07842,147438
07843,96262
07846,110379
07847,95949
07848,112799
07849,106044
07850,103322
07851,68309
07852,114346
07853,174788
07856,98680
07857,65060
07860,91690
07863,85668
07865,119088
07866,114647
07869,152960
07870,No Data
07871,152147
07874,101140
07876,134423
07878,114274
07880,No Data
07881,21686
07882,92857
07885,86928
07901,208881
07920,181901
07921,134538
07922,178510
07924,198734
07926,No Data
07927,137161
07928,221882
07930,194921
07931,328835
07932,149741
07933,138695
07934,271679
07935,121325
07936,126166
07939,No Data
07940,165631
07945,219967
07946,171009
07950,131501
